Spelling; nchar; LogFreq_Zipf; DomPoS
greyed; 6; 1.54; verb
harmonises; 10; 1.54; verb
humanisation; 12; 1.54; noun
hybridise; 9; 1.54; verb
hybridising; 11; 1.54; verb
initialised; 11; 1.54; verb
intellectualise; 15; 1.54; verb
internalising; 13; 1.54; verb
internationalised; 17; 1.54; adjective
jammiest; 8; 1.54; adjective
jemmied; 7; 1.54; verb
jink; 4; 1.54; noun
lionised; 8; 1.54; verb
maestri; 7; 1.54; name
memorialising; 13; 1.54; verb
metabolised; 11; 1.54; verb
metabolising; 12; 1.54; verb
metastasised; 12; 1.54; verb
militarising; 12; 1.54; verb
mitred; 6; 1.54; verb
moulders; 8; 1.54; noun
nanometre; 9; 1.54; noun
naturalise; 10; 1.54; verb
nebulised; 9; 1.54; adjective
notarised; 9; 1.54; verb
plateaux; 8; 1.54; noun
randomise; 9; 1.54; verb
rationalisations; 16; 1.54; noun
regionalise; 11; 1.54; verb
routeing; 8; 1.54; verb
sceptically; 11; 1.54; adverb
sceptres; 8; 1.54; noun
stigmatises; 11; 1.54; verb
stn; 3; 1.54; noun
sulphonamides; 13; 1.54; noun
toxaemia; 8; 1.54; noun
trivialisation; 14; 1.54; noun
visualisations; 14; 1.54; noun
vocalised; 9; 1.54; verb
womanisers; 10; 1.54; noun
hyperglycaemic; 14; 1.47; adjective
atomising; 9; 1.47; verb
bargees; 7; 1.47; noun
bastardisation; 14; 1.47; noun
behaviourism; 12; 1.47; noun
bevelling; 9; 1.47; noun
borstals; 8; 1.47; noun
botanising; 10; 1.47; verb
boyos; 5; 1.47; noun
brutalises; 10; 1.47; verb
clangour; 8; 1.47; noun
cleek; 5; 1.47; noun
colonises; 9; 1.47; verb
computerisation; 15; 1.47; noun
coshes; 6; 1.47; noun
dematerialised; 14; 1.47; verb
deodoriser; 10; 1.47; noun
depoliticised; 13; 1.47; verb
depressurise; 12; 1.47; verb
digitisation; 12; 1.47; noun
disfavour; 9; 1.47; noun
dossers; 7; 1.47; noun
dramatises; 10; 1.47; verb
evangelising; 12; 1.47; verb
fibreboard; 10; 1.47; noun
finalisation; 12; 1.47; noun
fossilising; 11; 1.47; verb
fraternised; 11; 1.47; verb
gemmologist; 11; 1.47; noun
giros; 5; 1.47; noun
grottiest; 9; 1.47; adjective
grovelled; 9; 1.47; verb
haematite; 9; 1.47; noun
haemorrhagic; 12; 1.47; adjective
haemostasis; 11; 1.47; noun
holdalls; 8; 1.47; noun
homogenising; 12; 1.47; verb
hospitalise; 11; 1.47; verb
