Title	Type	Year	Author	Country	Budget	Box	Duration	Producer
Terror-Creatures from the Grave/5 tombe per un medium, Cemetery of the Living Dead	Film	1965	Massimo Pupillo	Italy				
The Last Man on Earth/L'ultimo uomo della Terra	Film	1964	Ubaldo Ragona	Italy				
War of the Zombies/Rome Against Rome	Film	1964	Giuseppe Vari	Italy				
Highschool of the Dead	Comic	2011	Daisuke Sato/Shouji Sato	Japan				
I Am a Hero	Comic	2009	Kengo Hanazawa	Japan				
Reiko The Zombie Shop	Comic	2006	Rei Mikamoto	Japan				
Resident Evil: Vendetta	Film	2017	Takanori Tsujimoto	Japan	1600000	1e+05	115	
I Am a Hero	Film	2015	Shinsuke Sato	Japan				
Z Island	Film	2015	Hiroshi Shinagawa	Japan				
Miss Zombie	Film	2013	Sabu	Japan				
The Kirishima Thing (Kirishima, Bukatsu Yamerutteyo)	Film	2012	Daihachi Yoshida	Japan				
Schoolgirl Apocalypse	Film	2011	John S. Cairns	Japan				
Zombie Ass (Zombie Ass: Toilet of the Dead)	Film	2011	Noboru Iguchi	Japan				
Big Tits Zombie (Big Tits Dragon: Hot Spring Zombie vs. Stripper 5)	Film	2010	Takao Nakano	Japan				
Deadgirl	Film	2008	Marcel Sarmiento/Gadi Harel	United States		107000	101	 Hollywoodmade
Resident Evil: Degeneration	Film	2008	Makoto Kamiya	Japan				
Uniform SurviGirl I	Film	2008	Hiroshi Kaneko	Japan				
Batoru gâru	Film	1991	Kazuo 'Gaira' Komizu	Japan			73	Daiei Motion Picture Company/Moby Dick
Yoroi Samurai Zombie/Yoroi: Samurai Zonbie/Samurai Zombie	Film	2008	Tak Sakaguchi	Japan				
Undead Pool (Attack Girls' Swim Team versus the Undead)	Film	2007	Koji Kawano	Japan				
Forbidden Siren (Sairen)	Film	2006	Yukihiko Tsutsumi	Japan				
Zombie Self-Defense Force (Zonbi jieitai)	Film	2006	Naoyuki Tomomatsu	Japan				
Tokyo Zombie	Film	2005	Sakichi Sato	Japan				
Pepeng Agimat	Film	1999	Felix E. Dalay	Philippines			116	 Millennium Cinema
Mortuary Blues	Film	1990	Jeffrey Lau	Hong Kong			85	 Golden Harvest Company/Bo Ho Film Company Ltd.
Oh! My Zombie Mermaid	Film	2004	Naoki Kubo	Japan				
