Title	Type	Year	Author	Country	Budget	Box	Duration	Producer
Isle of the Death	Film	2016	Nick Lyon	United States				
Pandemic	Film	2016	John Suits	United States				
Pride and Prejudice and Zombies	Film	2016	Burr Steers	United States	2.8e+07	16638300	108	
Resident Evil: The Final Chapter	Film	2016	Paul W.S. Anderson	United States	4e+07	312825686	107	
Viral	Film	2016	Henry Joost/Ariel Schulman	United States		551760	85	
Zoombies	Film	2016	Glenn R. Miller	United States			187	
Peelers	Film	2016	Sevé Schelenz	United States			95	
Range 15	Film	2016	Ross Patterson	United States	1500000	575258	92	
Tyler Perry’s Boo! A Madea Halloween	Film	2016	Tyler Perry	United States	2e+07	73206343	103	
Amigo Undead	Film	2015	Ryan Nagata	United States				
Contracted: Phase II	Film	2015	Josh Forbes	United States		159074		
Dead Rising: Watchover	Film	2015	Zach Lipowsky	United States				
Freaks of Nature	Film	2015	Robert Pickering	United States	3.3e+07	70958		
Maggie	Film	2015	Henry Hobson	United States	4500000	664346		
Milfs vs. Zombies	Film	2015	Brad Twigg	United States				
Navy Seals vs. Zombies	Film	2015	Stanton Barret	United States				
Night of the Living Dead: Darkest Dawn	Film	2015	Zebediah de Soto	United States				
Re-Kill	Film	2015	Valeri Milev	United States				
Scouts Guide to the Zombie Apocalypse	Film	2015	Christopher B. Landon	United States	1.5e+07	15554855		
The Burning Dead	Film	2015	Rene Perez	United States				
The Walking Deceased	Film	2015	Scott Dow	United States	2e+06			
Zombie World	Film	2015	Jesse Baget/Adrian Cardona/Rafa Dengra/Luke Guidici/Phil Haine/Cameron McCulloch/David Munoz/Adam O'Brien/Zachary Ramelan/Paul Shrimpton/Vedran Marjanovic Wesker/Tommy Woodard	United States			100	
A Christmas Horror Story	Film	2015	Grant Harvey/Steven Hoban/Brett Sullivan	United States			99	
Burying the Ex	Film	2015	Jose Dante	United States		604517	90	
Condemned	Film	2015	Eli Morgan Gesner	United States			183	
How to Save Us	Film	2015	Jason Trost	United States	20000	3785		
Maze Runner: The Scorch Trials	Film	2015	Wes Ball	United States	6.1e+07	310697192	133	
Burying The Ex	Film	2014	Joe Dante	United States		604517		
Chrysalis	Film	2014	John Klein	United States				
Cooties	Film	2014	Jonathan Milott/Cary Murnion	United States				
Dead Within	Film	2014	Ben Wagner	United States				
How to Kill a Zombie	Film	2014	Tiffany McClean	United States				
Life After Beth	Film	2014	Jeff Baena	United States		334491		
Night of the Living Dead	Film	2014	Chad Zuver	United States				
Reichsfuhrer SS	Film	2014	David B. Stewart	United States				
Roadkill Zoo	Film	2014	Bradley Beesley	United States				
The Dead and the Damned 2	Film	2014	Rene Perez	United States				
Zombeavers	Film	2014	Jordan Rubin	United States		14947		
All Cheerleaders Die	Film	2014	Lucky McKee/Chris Sivertson	United States			90	
Zombie Fight Club	Film	2014	Joe Chien	Taiwan		165653	95	 Sun Entertainment Culture
The Maze Runner	Film	2014	Wes Ball	United States	3.4e+07	1.02e+08	113	
Bath Salt Zombies	Film	2013	Dustin Mills	United States				
Battle of the Damned	Film	2013	Christopher Hatton	United States		134452	88	Compound B, Boku Films, Vividthree Productions
Hidden	Film	2015	Matt Duffer/Ross Duffer	United States				 Primal Pictures (II)/Warner Bros.
Deadman Inferno	Film	2015	Hiroshi Shinagawa	Japan			108	 Kadokawa Daiei Studios
Contracted	Film	2013	Eric England	United States		58221	84	 BoulderLight Pictures/Southern Fried Films
Germ	Film	2013	J.T. Boone/John Craddok	United States	5e+05		80	 Germ The Movie/Two Thirds Productions
This Is What Remains	Film	2014	Ben Wagner	United States			91	 3:41am/This is Just a Test Productions
Pro Wrestlers vs Zombies	Film	2013	Cody Knotts	United States				
"V/H/S/2, segment ""A Ride in the Park"""	Film	2013	Eduardo Sanchez/Gregg Hale	United States		21833		
Warm Bodies	Film	2013	Jonathan Levine	United States	3e+07	115121608		
World War Z	Film	2013	Marc Forster	United States	1.9e+08	531514650		
Zombie Night	Film	2013	John Gulager	United States				
A Zombie Invasion	Film	2013	Matt Green	United States		1170		
Midget Zombie Takeover	Film	2013	Glenn Berggoetz	United States		11145		
Nothing Left to Fear	Film	2013	Anthony Leonardi III	United States	2e+06	7886	100	
This Is the End	Film	2013	Seth Rogen/Evan Goldberg	United States	3.2e+07	126500000	107	
2 Hours	Film	2012	Michael Ballif	United States				
Abraham Lincoln vs. Zombies	Film	2012	Richard Schenkman	United States				
Detention of the Dead	Film	2012	Alex Craig Mann	United States				
Evil Head	Film	2012	Doug Sakmann	United States				
Night of the Living Dead 3D: Re-Animation	Film	2012	Jeff Broadstreet	United States				
ParaNorman	Film	2012	Sam Fell/Chris Butler	United States				
Resident Evil: Damnation	Film	2012	Makoto Kamiya	United States				
Resident Evil: Retribution	Film	2012	Paul W.S. Anderson	United States	6.5e+07	238940997		
Rise of the Zombies	Film	2012	Nick Lyon	United States				
"Scary or Die, segments ""The Crossing"", ""Clowned"""	Film	2012	Michael Emanuel	United States				
"The ABCs of Death, segment ""W is for WTF?"""	Film	2012	Jon Schnepp	United States				
The Amazing Adventures of the Living Corpse	Film	2012	Justin Paul Ritter	United States				
The Battery	Film	2013	Jeremy Gardner	United States	6000		101	 O. Hannah Films
The Zombinator	Film	2012	Sergio Myers	United States				
"V/H/S, segment ""Tape 56"""	Film	2012	Adam Wingard	United States		1925329		
Hotel Transylvania	Film	2012	Genndy Tartakovsky	United States	8.5e+07	378505812	92	
The Cabin in the Woods	Film	2012	Drew Goddard	United States	3e+07	70689968	95	
Bled White	Film	2011	Jose Carlos Gomez	United States				
Caustic Zombies	Film	2011	Johnny Daggers	United States				
DeadHeads	Film	2011	Brett Pierce/Drew T. Pierce	United States				
Fading of the Cries	Film	2011	Brian A. Metcalf	United States		2300		
First Platoon	Film	2011	Chris Gabriel	United States				
Night of the Living Carrots	Film	2011	Robert Porter	United States				
Pirates of the Caribbean: On Stranger Tides	Film	2011	Rob Marshall	United States	410600000	1045663875	137	
Pop Punk Zombies	Film	2011	Steve Dayton	United States				
Quarantine 2: Terminal	Film	2011	John Pogue	United States				
Remains (Steve Niles' Remains)	Film	2011	Colin Theys	United States				
State of Emergency	Film	2011	Turner Clay	United States				
Stitched	Film	2011	Garth Ennis	United States				
The Cabin in the Woods	Film	2011	Drew Goddard	United States				
The Walken Dead	Film	2011	Ryan Hunter	United States				
The Zombie Farm	Film	2011	Ricardo Islas	United States				
Zombie Farm	Film	2007	B. Luciano Barsuglia	United States			81	BLB Media
Evilution	Film	2008	Chris Conlee	United States	1200000		91	 Black Gate Entertainment/Black Gate Entertainment/Damian Collier Entertainment
Zombie Apocalypse	Film	2011	Nick Lyon	United States				
Zombie in a Penguin Suit	Film	2011	Chris Russell	United States				
Humans Vs. Zombies	Film	2011	Brian T. Jaynes	United States			93	
Chillerama	Film	2011	Adam Green/Joe Lynch/Adam Rifkin/Tim Sullivan	United States			120	
Beverly Lane	Film	2010	Joshua Hull	United States				
Nazis at the Center of the Earth	Film	2012	Joseph J. Lawson	United States			89	The Asylum
The Dead Want Women	Film	2012	Charles Band	United States	5e+05		74	Full Moon Pictures
Die-ner (Get It?)	Film	2010	Patrick Horvath	United States				
George A. Romero's Survival of the Dead	Film	2010	George A. Romero	United States	4200000	101740	90	
Horrorween	Film	2010	Joe Estevez	United States				
Misery Bear - Dawn of the Ted	Film	2010	Chris Hayward/Nat Saunders	United States				
Night Shift	Film	2010	Rob Chinery/Scott Chinery/Tommy Chinery	United States				
Pushin' Up Daisies	Film	2010	Patrick Franklin	United States				
Resident Evil: Afterlife	Film	2010	Paul W.S. Anderson	United States	57500000	295874190	97	
III Slices of Life	Film	2010	Anthony G. Sumner	United States			107	Tinycore Pictures
Zombie Ed	Film	2013	Ren Blood	United States			104	All Mine Productions
Zombie Driftwood 	Film	2010	Bob Carruthers	United Kingdom	1942498.5		75	Zombie Driftwood
The Crazies	Film	2010	Breck Eisner	United States	1.9e+07	56445534	101	
The Dead and the Damned	Film	2010	Rene Perez	United States				
They Walk	Film	2010	Charles House II	United States				
Alice Jacobs Is Dead	Film	2009	Alex Horwitz	United States				
Blood Creek/Creek, Town Creek	Film	2009	Joel Schumacher	United States				
When Zombies Attack!	Film	2008	Craig Ouellette	United States			22	Kid-O Films
Subject #7	Film	2017	Leeroy C. Farrare	United States	12500		18	Farrare Entertainment/LCF Workprint
Toxic Lullaby	Film	2015	Ralf Kemper	Germany			92	Spontitotalfilm
Broken Springs/Broken Springs: Shrine of the Undead Zombie Bastards	Film	2009	Neeley Lawson	United States				
Videoclub	Film	2014	Pablo Illanes	Chile			80	Fifty Films/Arrebato Films
Hunger Z	Film	2014	Naoto Tsukiashi	Japan			74	Aphrodite, CREi, Nippon Shuppan Hanbai (Nippan) K.K.
Dead Air	Film	2009	Corbin Bernsen	United States			90	 Team Cherokee Productions/Antibody Films/Expedition Films
Dong of the Dead	Film	2009	Joanna Angel	United States				
Eat Me!/The Eaters	Film	2009	Katie Carman	United States				
Eaters	Film	2011	Luca Boni/Marco Restori	Italy	1e+05		94	Extreme Video Snc
Gallowwalkers	Film	2009	Andrew Goth	United States				
George: A Zombie Intervention	Film	2009	J.T. Seaton	United States				
The Haunted World of El Superbeasto	Film	2009	Rob Zombie	United States			77	 Carbunkle Cartoons/Film Roman Productions/Spectacle Entertainment Group
Night of the Living Dead: Reanimated	Film	2009	Mike Schneider	United States				
Pontypool	Film	2009	Bruce McDonald	United States		32118	96	
Rising Up: The Story of the Zombie Rights Movement	Film	2009	Laura Moss	United States				
Silent Night, Zombie Night	Film	2009	Sean Cain	United States				
Drive-In Horrorshow	Film	2009	Michael Neel	United States			108	Grimm Films
Porn Star Zombies	Film	2009	Keith Emerson	United States	10000		80	
Survival of the Dead	Film	2009	George A. Romero	Canada	4e+06	386078	90	Blank of the Dead Productions/Devonshire Productions/New Romero
The Book of Zombie	Film	2009	Scott Kragelund/Paul Cranefield/Erik Van Sant	United States	15000		61	
The Night Shift	Film	2009	Thomas Smith	United States				
The Revenant	Film	2009	D. Kerry Prior	United States			117	Putrefactory
The Sky Has Fallen	Film	2009	Doug Roos	United States				
The Zombeatles: All You Need Is Brains	Film	2009	Doug Gordon	United States				
ZMD: Zombies of Mass Destruction	Film	2009	Kevin Hamedani	United States	5e+05		89	Typecast Pictures
Zombie Women of Satan	Film	2009	Steve O'Brien/Warren Speed	United States				
Zombieland	Film	2009	Ruben Fleischer	United States	23600000	102236596	88	
Aces & Eights	Film	2008	Matt Allen	United States				
Dance of the Dead	Film	2008	Gregg Bishop	United States				
Day of the Dead	Film	2008	Steve Miner	United States				
Dead Space: Downfall	Film	2008	Chuck Patton	United States				
Diary of the Dead	Film	2008	George A. Romero	United States	2750000	5394447	95	
Dinner Party of the Damned	Film	2008	Brian Wimer	United States				
Edges of Darkness	Film	2008	Jason Horton/Blaine Cade	United States				
Flick	Film	2008	David Howard	United States				
George Romero's Diary of the Dead	Film	2008	George A. Romero	United States				
Grave Mistake	Film	2008	Shawn Darling	United States				
I Love Sarah Jane	Film	2008	Spencer Susser	United States				
I Sell the Dead	Film	2008	Glenn McQuaid	United States	750000	8050	85	Glass Eye Pix
Insanitarium	Film	2008	Jeff Buhler	United States				
Tokyo Zombie	Film	2005	Sakichi Sato	Japan			103	IMJ Entertainment/TV Tokyo/TYO Productions
Living Dead Lock Up 3: Siege of the Dead	Film	2008	Mario Xavier	United States				
Maybe....	Film	2008	Christopher Kahler	United States				
Night of the Living Jews	Film	2008	Oliver Noble	United States				
Ninjas vs. Zombies	Film	2008	Justin Timpane	United States				
Plaguers	Film	2008	Brad Sykes	United States				
Quarantine	Film	2008	John Erick Dowdle	United States				
Splinter	Film	2008	Toby Wilkins	United States				
Street of the Dead	Film	2008	Joe Pontillo	United States				
Zombie Strippers	Film	2008	Jay Lee	United States		8259		
Zombie Self-Defense Force/Zonbi jieitai	Film	2006	Naoyuki Tomomatsu	Japan			75	Filmworks Movie King/GP Museum Soft
Dead Girl Walking	Film	2004	Kôji Shiraishi/Kazuhiro Yokoyama	Japan			44	Japan CableCast K.K./Pony Canyon/Common Wealth Entertainment
Sars Wars	Film	2004	Taweewat Wantha	Thailand		121100	95	Charlermthai Studio
Suriyakhaat/Curse of the Sun	Film	2004	Kittipong Panyataweesap/Anat Yuangngern	Thailand			82	CM Film Co.
The Naked and the Living Dead: Shin kaidan zangyaku hidô: onna keiji to ratai kaibôki	Film	2003	Seiji Yamada	Japan			85	Office Yurika
The Happiness of the Katakuris/Katakuri-ke no kôfuku	Film	2001	Takashi Miike	Japan	1500000		113	Dentsu/Eisei Gekijo/Ganmo
Walk Like a Zombie	Film	2002	Jeong-gu Kim/Seol-woo Kim	South Korea			87	
American Zombie	Film	2007	Grace Lee	United States	1e+06	3126	90	Lee Lee Films, iHQ
Beneath the Surface	Film	2007	Blake Reigle	United States				
Battlefield Baseball/Jigoku Kôshien	Film	2003	Yudai Yamaguchi	Japan			87	Media Suits/The Klockworx/napalm FiLMS
Shaolin vs. Evil Dead	Film	2004	Douglas Kung	Hong Kong		25	94	Pan Pan Productions Company/Wo Ping Creative Team
Â! Ikkenya puroresu	Film	2004	Naoki Kubo/Terry Ito	Japan			100	Soft on Demand
Oh! My Zombie Mermaid/Sheng hua te jing: Sang shi ren wu	Film	2000	Wai-Man Cheng	Hong Kong			89	Jing's Production
Dorm of the Dead	Film	2012	Tobias Canto Jr./Tyrel Good	United States			86	
Brain Blockers	Film	2007	Lincoln Kupchak	United States				
Brain Dead	Film	2007	Kevin Tenney	United States				
Days of Darkness	Film	2007	Jake Kennedy	United States				
Dead Moon Rising	Film	2007	Mark E. Poole	United States				
Dorm of the Dead	Film	2007	Donald Farmer	United States				
Flight of the Living Dead: Outbreak on a Plane	Film	2007	Scott Thomas	United States				
Forest of the Dead	Film	2007	Brian Singleton	United States				
Grindhouse	Film	2007	Robert Rodriguez/Quentin Tarantino	United States				
I Am Legend	Film	2007	Francis Lawrence	United States				
I Am Omega	Film	2007	Griff Furst	United States				
Planet Terror	Film	2007	Robert Rodriguez	United States				
Resident Evil: Extinction	Film	2007	Russell Mulcahy	United States	4.5e+07	146162920	94	
Return of the Livig Dead: The Dead Have Risen	Film	2007	Mitch Csanadi	United States			29	
Undead or Alive	Film	2007	Glasgow Phillips	United States				
Urban Decay	Film	2007	Harry Basil	United States				
Wasting Away (Aaah! Zombies!!)	Film	2007	Matthew Kohnen	United States				
Zombies! Zombies! Zombies!	Film	2007	Jason M. Murphy	United States				
Zombie Snake	Film	2000	Atsushi Shimizu	Japan			88	
After Sundown	Film	2006	Christopher Abram/Michael W. Brown	United States				
Automaton Transfusion	Film	2006	Steven C. Miller	United States				
City of Rott	Film	2006	Frank Sudol	United States				
Dead & Deader	Film	2006	Patrice Dinhut	United States			89	Mindfire Entertainment
Last Rites/Gangs of the Dead	Film	2006	Duane Stinnett	United States			90	Outside Productions
Dead Eyes Open	Film	2006	Ralf Möllenhoff	Germany	16685.92		85	R.I.P. Independent Production
Dead in the Water	Film	2006	Marc Buhmann	United States	35000		78	 RPM Films/Wych Elm Films
Hood of Horror (Gang of Horror, Snoop Dogg's Hood of Horror)	Film	2006	Stacy Title	United States				
Horrors of War	Film	2006	Peter John Ross/John Whitney	United States	3e+05		99	Arbor Avenue Films/Sonnyboo Productions/Hollywood Wizard
Mulberry Street	Film	2006	Jim Mickle	United States				
Night of the Dead (Night of the Leben Tod)	Film	2006	Eric Forsberg	United States				
Pathogen	Film	2006	Emily Hagins	United States				
Poultrygeist: Night of the Chicken Dead	Film	2006	Lloyd Kaufman	United States				
Shadow: Dead Riot	Film	2006	Derek Wan	United States	75000		81	Fever Dreams, Media Blasters
Slither	Film	2006	James Gunn	United States	15250000	12930343	96	
Special Dead	Film	2006	Thomas L. Phillips/Sean Simmons	United States				
The Plague/Clive Barker's The Plague	Film	2006	Hal Masonberg	United States				
The Quick and the Undead	Film	2006	Gerald Nott	United States				
Wicked Little Things	Film	2006	Joseph S. Cardone	United States		392287	94	
Zombie Wars	Film	2006	David A. Prior	United States				
All Souls Day	Film	2005	Jeremy Kasten	United States				
Bubba's Chili Parlor	Film	2005	Joey Evans	United States				
Day of the Dead 2: Contagium	Film	2005	Ana Clavell/James Glenn Dudelson	United States				
Dead Men Walking	Film	2005	Peter Mervis	United States				
"Dead Things, segment ""The Wish"""	Film	2005	D.T. Carney	United States				
Die You Zombie Bastards!	Film	2005	Caleb Emerson	United States				
Hood of the Living Dead	Film	2005	Eduardo Quiroz/Jose Quiroz	United States				
Land of the Dead	Film	2005	George A. Romero	United States				
Livelihood	Film	2005	Ryan Graham	United States				
Mortuary	Film	2005	Tobe Hooper	United States				
Swamp Zombies!!!	Film	2005	Len Kabasinski	United States				
The Roost	Film	2005	Ti West	United States				
The Stink of Flesh	Film	2005	Scott Phillips	United States				
Zombie Hunter	Film	2005	Geoff Hamby	United States				
Zombiez	Film	2005	John Bacchus	United States				
Season of the Witch	Film	2005	Dominic Sena	United States	4e+07	91126600	113	
The Devil's Rejects	Film	2005	Rob Zombie	United States	7e+06	20940428	109	
Bone Sickness	Film	2004	Brian Paulin	United States				
Curse of the Maya (Dawn of the Living Dead, Evil Grave: Curse of the Maya)	Film	2004	David Heavener	United States				
Dawn of the Dead	Film	2004	Zack Snyder	United States	1500000	5.5e+07	110	
Dead & Breakfast	Film	2004	Matthew Leutwyler	United States				
Gay By Dawn	Film	2004	Jonathan London	United States				
Hide and Creep	Film	2004	Chuck Hartsell/Chance Shirley	United States				
Re-Penetrator	Film	2004	Doug Sakmann	United States				
Resident Evil 2: Apocalypse	Film	2004	Alexander Witt	United States	5e+07	125168734	98	
Song of the Dead	Film	2004	Chip Gubera	United States				
The Lost Tape: Andy's Terrifying Last Days Revealed	Film	2004	Zack Snyder	United States				
Zombie Honeymoon	Film	2004	David Gebroe	United States				
Zombie Vegetarians	Film	2004	Mad Martian	United States				
Blood of the Beast	Film	2003	Georg Koszulinski	United States				
Boot Hill Blind Dead	Film	2003	Chris Mackey/Alana Smithe	United States				
"Goregoyles: First Cut, segment ""Berserkers"""	Film	2003	Kevin J. Lindenmuth	United States				
Gory Gory Hallelujah	Film	2003	Sue Corcoran	United States				
Living Dead Girl	Film	2003	Jon Springer	United States				
The Ghouls (Cannibal Dead: The Ghouls, Urban Cannibals)	Film	2003	Chad Ferrin	United States				
Zombie Planet	Film	2003	George Bonilla	United States				
Zombie Valley	Film	2003	Darin Beckstead	United States				
Zombiegeddon	Film	2003	Chris Watson	United States				
Necropolis Awakened	Film	2002	Garrett White	United States				
Resident Evil	Film	2002	Paul W.S. Anderson	United States	3.5e+07	103787401	100	
Biohazardous	Film	2001	Michael J. Hein	United States				
Children of the Living Dead	Film	2001	Tor Ramsey	United States				
Zombie Chronicles	Film	2001	Brad Sykes	United States				
All of the Dead	Film	2000	Tony Mines/Tim Drage	United States				
Machine Head	Film	2000	Michael Leonard Murphy	United States				
The Dead Hate the Living!	Film	2000	Dave Parker	United States				
Zombie! vs. Mardi Gras	Film	1999	Will Frank/Karl DeMolay	United States				
House of the Damned	Film	1996	Sean Weathers	United States				
Uncle Sam	Film	1996	William Lustig	United States				
Female Mercenaries on Zombie Island	Film	1995	Gary Whitson	United States				
Legion of the Night	Film	1995	Matt Jaissle	United States				
Voodoo	Film	1995	Rene Eram	United States				
Shatter Dead	Film	1994	Scooter McCrae	United States				
Ed and His Dead Mother	Film	1993	Jonathan Wacks	United States				
Ghost Brigade	Film	1993	George Hickenlooper	United States				
My Boyfriend's Back	Film	1993	Bob Balaban	United States		3218882	85	
Ozone	Film	1993	J.R. Bookwalter	United States				
Weekend at Bernie's II	Film	1993	Robert Klane	United States				
Zombie Bloodbath	Film	1993	Todd Sheets	United States				
Dead Alive	Film	1993	Peter Jackson	United States	3e+06	242623	104	
Hocus Pocus	Film	1993	Kenny Ortega	United States	2.8e+07	39360491	96	
Army of Darkness	Film	1992	Sam Raimi	United States				
Pet Sematary Two	Film	1992	Mary Lambert	United States				
Chopper Chicks in Zombietown	Film	1991	Dan Hoskins	United States				
Netherworld	Film	1991	David Schmoeller	United States				
Night of the Day of the Dawn of the Son of the Bride of the Return of the Revenge of the Terror of the Attack of the Evil, Mutant, Alien, Flesh Eating, Hellbound, Zombified Living Dead Part 2: In Shocking 2-D	Film	1991	James Riffel	United States				
Nudist Colony of the Dead	Film	1991	Mark Pirro	United States				
Teenage Exorcist	Film	1991	Grant Austin Waldman	United States				
Frankenhooker	Film	1990	Frank Henenlotter	United States				
Maniac Cop 2	Film	1990	William Lustig	United States				
Night of the Living Bread	Film	1990	Kevin S. O'Brien	United States				
Night of the Living Dead	Film	1990	Tom Savini	United States	4200000	5835247	96	
The Boneyard	Film	1990	James Cummins	United States				
Voodoo Dawn	Film	1990	Steven Fierberg	United States				
Beverly Hills Bodysnatchers	Film	1989	Jonathan Mostow	United States				
C.H.U.D. II: Bud the C.H.U.D.	Film	1989	David Irving	United States				
The Dead Pit	Film	1989	Brett Leonard	United States				
The Vineyard	Film	1989	James Hong	United States				
Pet Sematary	Film	1989	Mary Lambert	United States	11500000	57500000	98	
Dead Heat	Film	1988	Mark Goldblatt	United States				
Flesheater (Zombie Nosh)	Film	1988	Bill Hinzman	United States				
Maniac Cop	Film	1988	William Lustig	United States				
Return of the Living Dead Part II	Film	1988	Ken Wiederhorn	United States	6200000	9205924	89	
The Dead Next Door	Film	1988	J.R. Bookwalter	United States				
The Serpent and the Rainbow	Film	1988	Wes Craven	United States				
Evil Dead II	Film	1987	Sam Raimi	United States				
I Was a Teenage Zombie	Film	1987	John Elias Michalakis	United States				
Killing Spree	Film	1987	Tim Ritter	United States				
Prince of Darkness (John Carpenter's Prince of Darkness)	Film	1987	John Carpenter	United States				
Redneck Zombies	Film	1987	Pericles Lewnes	United States				
The Video Dead	Film	1987	Robert Scott	United States				
Zombie High	Film	1987	Ron Link	United States				
House II: The Second Story	Film	1987	Ethan Wiley	United States	3e+06	1e+07	88	
Deadly Friend	Film	1986	Wes Craven	United States				
Night of the Creeps	Film	1986	Fred Dekker	United States				
Night of the Creeps	Film	1986	Fred Dekker	United States				
Raiders of the Living Dead	Film	1986	Samuel M. Sherman	United States				
Day of the Dead	Film	1985	George A. Romero	United States				
Re-Animator	Film	1985	Stuart Gordon	United States	9e+05	2023000	104	
The Return of the Living Dead	Film	1985	Dan O'Bannon	United States	4e+06	14237880	91	
Warning Sign	Film	1985	Hal Barwood	United States				
Bloodsuckers from Outer Space	Film	1984	Glen Coburn	United States				
Mutant	Film	1984	John Cardos	United States				
Night of the Comet	Film	1984	Thom Eberhardt	United States	3e+06	14600000	95	
Surf II	Film	1984	Randall Badat	United States				
C.H.U.D.	Film	1984	Douglas Cheek	United States	1250000	4700000	96	
One Dark Night	Film	1983	Tom McLoughlin	United States				
Creepshow	Film	1982	George A. Romero	United States	8e+06	20036244	130	
I Was a Zombie for the F.B.I.	Film	1982	Marius Penczner	United States				
No profanar el sueño de los muertos	Film	1974	Jorge Grau	Spain			95	
Dead & Buried	Film	1981	Gary Sherman	United States				
E tu vivrai nel terrore	Film	1981	Lucio Fulci	Italy				Fulvia Film
Frankenstein Island	Film	1981	Jerry Warren	United States				
Kiss Daddy Goodbye/Revenge of the Zombie	Film	1981	Patrick Regan	United States				
The Evil Dead	Film	1981	Sam Raimi	United States				
Alien Dead	Film	1980	Fred Olen Ray	United States				
Don't Go in the House	Film	1980	Joseph Ellison	United States				
Frozen Scream	Film	1980	Frank Roach	United States				
The Children	Film	1980	Max Kalmanowicz	United States				
Toxic Zombies	Film	1980	Charles McCrann	United States				
The Fog	Film	1980	John Carpenter	United States	1e+06	21378361	91	
Dawn of the Dead	Film	1978	George A. Romero	United States	5e+05	5.5e+07	153	
Within the Woods	Film	1978	Sam Raimi	United States				
Shock Waves	Film	1977	Ken Wiederhorn	United States				
Garden of the Dead	Film	1974	John Hayes	United States				
Sugar Hill	Film	1974	Paul Maslansky	United States				
The House of Seven Corpses	Film	1974	Paul Harrison	United States				
The Hidan of Maukbeiangjow	Film	1973	Lee S. Jones	United States				
Blood of Ghastly Horror	Film	1972	Al Adamson	United States				
Children Shouldn't Play with Dead Things	Film	1972	Bob Clark	United States				
Deathdream	Film	1972	Bob Clark	United States				
Messiah of Evil	Film	1972	Willard Huyck/Gloria Katz	United States				
Night of the Living Dead	Film	1968	George A. Romero	United States	114000	30087064	97	
The Astro-Zombies	Film	1968	Ted V. Mikels	United States				
I Eat Your Skin/Zombies	Film	1964	Del Tenney	United States				
The Horror of Party Beach	Film	1964	Del Tenney	United States				
The Incredibly Strange Creatures Who Stopped Living and Became Mixed-Up Zombies	Film	1964	Ray Dennis Steckler	United States				
Monstrosity	Film	1963	Joseph Mascelli	United States				
Tales of Terror	Film	1962	Roger Corman	United States				
The Dead One/El Muerto	Film	1961	Barry Mahon	United States				
Invisible Invaders	Film	1959	Edward L. Cahn	United States				
Plan 9 from Outer Space	Film	1959	Ed Wood	United States				
Teenage Zombies	Film	1959	Jerry Warren	United States				
The Four Skulls of Jonathan Drake	Film	1959	Edward L. Cahn	United States				
The Undead	Film	1957	Roger Corman	United States				
Zombies of Mora Tau	Film	1957	Edward L. Cahn	United States				
The Undead	Film	1957	Roger Corman	United States	70000		75	
Creature with the Atom Brain	Film	1955	Edward L. Cahn	United States				
Valley of the Zombies	Film	1946	Philip Ford	United States				
Isle of the Death	Film	1945	Mark Robson	United States				
Zombies on Broadway/Loonies on Broadway	Film	1945	Gordon Dines/Gordon M. Douglas	United States				
Voodoo Man	Film	1944	William Beaudine	United States				
Bowery at Midnight	Film	1942	Wallace Fox	United States				
King of the Zombies	Film	1941	Jean Yarbrough	United States				
The Ghost Breakers	Film	1940	George Marshall	United States				
The Devil's Daughter/Pocomania	Film	1939	Arthur H. Leonard	United States				
Revolt of the Zombies	Film	1936	Victor Halperin	United States				
White Zombie	Film	1932	Victor Halperin	United States				
Archaic Redemption 	Film		Tony Brownrigg	United States				
Breathers: A Zombie’s Lament Movie	Film		Geoff LaTulippe	United States				
Inherit the Earth	Film		George A. Romero/Mike Flanagan	United States				
Pa	Film		David Cohen	United States				
	Film							
Zombie	Film	2019	 Tony Newton/Jason Impey	United Kingdom				Vestra Pictures
Zombie	Film	2019	Bhuvan R Nullan	India			128	S3 Pictures
Rise of the Living Dead	Film	2019	G. Cameron Romero	United States				
Everything You Ever Wanted to Know About Zombies	Handbook	2011	Max Brooks/Matt Mogk	United States				
The Art of Zombie Warfare: How to Kick Ass Like the Walking Dead	Handbook	2010	Scott Kenemore	United States				
The Zen of Zombie: Better Living Through the Undead 	Handbook	2007	Scott Kenemore	United States				
The Zombie Survival Guide: Complete Protection from the Living Dead	Handbook	2003	Max Brooks	United States				
Dogs of War: A Jose Ledger Novel	Novel	2017	Jonathan Maberry	United States				
Nights of the Living Dead: An Anthology	Novel	2017	George A. Romero	United States				
Ghost Run	Novel	2016	J.L. Bourne	United States				
Kill Switch: A Joe Ledger Novel	Novel	2016	Jonathan Maberry	United States				
Max Brooks' The Extinction Parade	Novel	2015	Max Brooks	United States				
Positive: A Novel	Novel	2015	David Wellington	United States				
Predator One: A Joe Ledger Novel	Novel	2015	Jonathan Maberry	United States				
Code Zero: A Joe Ledger Novel	Novel	2014	Jonathan Maberry	United States				
Toe Tags	Novel	2014	George A. Romero	United States				
Zombies Don't Surrender	Novel	2014	Rusty Fischer	United States				
Day by Day Armageddon: Grey Fox	Novel	2013	J.L. Bourne	United States				
Extinction Machine: A Joe Ledger Novel	Novel	2013	Jonathan Maberry	United States				
Under a Graveyard Sky	Novel	2013	John Ringo	United States				
Zombies Don't Forgive	Novel	2013	Rusty Fischer	United States				
Assasin's Code: A Joe Ledger Novel	Novel	2012	Jonathan Maberry	United States				
Closure, Limited	Novel	2012	Max Brooks	United States				
